,Country,Year,Unweighted_Temp,Unweighted_Temp_Change,Burke_Weighted_Temp,Precipitation,Drought,Extreme temperature,Flood,GDP_Change,ln_GDP_Change,TFP,TFP_normalized_by_country,TFP_Change,ln_TFP_Change,ln_Life_Expectancy_change,ASI
4960,GTM,1961,22.6952254,0.001835830000000982,20.64,34.432113647460895,0,0,0,208000000.0,0.0420094080775435,41.48857,-1.4008334024590192,,,0.014348194741127696,
4961,GTM,1962,22.41809209,-0.2771333100000035,20.37,34.432113647460895,0,0,0,179000000.0,0.03479118747794274,43.75749,-1.3120815347279304,2.2689199999999943,0.0532448305361885,0.01123426997537802,
4962,GTM,1963,22.44575961,0.02766752000000139,20.31,34.432113647460895,0,0,0,499000000.0,0.09104652313867945,46.84196,-1.1914283281536517,3.084470000000003,0.0681165842807653,0.008728684050142377,
4963,GTM,1964,22.78711367,0.34135406000000046,20.73,34.432113647460895,0,0,0,266000000.0,0.04534610176687437,48.57403,-1.1236760726572097,1.7320700000000002,0.0363096435128595,0.006413041459921054,
4964,GTM,1965,22.85821692,0.07110325000000017,21.01,34.432113647460895,0,0,0,262000000.0,0.04274015367616002,49.40704,-1.0910917623515688,0.8330100000000016,0.0170038982175309,0.00213554506133784,
4965,GTM,1966,22.67967081,-0.1785461099999992,21.05,34.432113647460895,0,0,0,345000000.0,0.053630070143533715,48.45105,-1.1284866013199961,-0.95599,-0.0195389142331614,-0.0010462659725276602,
4966,GTM,1967,22.52010552,-0.15956528999999975,20.4,34.432113647460895,0,0,0,271000000.0,0.04019821896232756,47.55847,-1.1634010725659703,-0.8925800000000024,-0.0185941085141152,0.004595404335514974,
4967,GTM,1968,22.26967414,-0.250431380000002,20.12,34.432113647460895,0,0,0,603000000.0,0.08403856088019168,52.08408,-0.986375730058304,4.52561,0.0908994344311868,0.00652252992704927,
4968,GTM,1969,23.05675046,0.7870763200000006,20.91,34.432113647460895,0,0,0,355000000.0,0.04636202719202842,53.86371,-0.9167631009791485,1.7796299999999974,0.0335976314529471,0.005162847310412388,
4969,GTM,1970,22.76754316,-0.28920730000000106,20.93,34.432113647460895,0,0,0,447000000.0,0.05547672153383232,54.12437,-0.906567033315773,0.2606600000000014,0.0048275792334591,0.018186587163544488,
4970,GTM,1971,22.91392819,0.14638503000000114,20.97,34.432113647460895,0,0,0,462000000.0,0.054276886854438544,53.56691,-0.9283728335138288,-0.557459999999999,-0.0103530198409971,0.020916867988724608,
4971,GTM,1972,23.33435408,0.42042589000000063,21.61,34.432113647460895,0,0,0,642000000.0,0.07084364488428818,56.57555,-0.8106858197229223,3.00864,0.0546453863897804,0.022601381165119783,
4972,GTM,1973,23.4432497,0.10889561999999842,21.86,34.432113647460895,0,0,1,633000000.0,0.06525734230186586,58.06184,-0.7525475806091413,1.4862899999999968,0.0259317363672639,0.026090680162269564,
4973,GTM,1974,22.97056214,-0.4726875600000007,21.36,34.432113647460895,0,0,0,640000000.0,0.06191532308097791,60.57153,-0.6543776694064382,2.509690000000006,0.0423163312554493,0.01935749238575779,
4974,GTM,1975,23.33137576,0.36081362000000183,21.69,34.432113647460895,0,0,0,210000000.0,0.019508282395420906,60.5197,-0.6564050698015612,-0.0518300000000024,-0.0008560488346711,0.01442204617399101,
4975,GTM,1976,22.72077545,-0.6106003099999988,21.22,34.432113647460895,0,0,0,800000000.0,0.07101474516534623,63.96236,-0.5217407779961601,3.4426599999999965,0.0553258534774521,-0.10886471067071657,
4976,GTM,1977,23.37284136,0.6520659099999975,21.99,34.432113647460895,0,0,0,910000000.0,0.07508680497382869,65.43327,-0.4642041483378488,1.4709099999999964,0.0227360593612457,0.12679722302412966,
4977,GTM,1978,23.33343999,-0.03940137000000021,21.85,34.432113647460895,0,0,0,630000000.0,0.04886586726194153,65.20983,-0.4729443054724477,-0.2234399999999965,-0.0034206202679811,0.002630191444624508,
4978,GTM,1979,23.25246016,-0.08097983000000042,21.82,34.432113647460895,0,0,0,630000000.0,0.04658883165528849,62.27345,-0.5878047718477343,-2.93638,-0.0460750532036664,0.003959059278305865,
4979,GTM,1980,23.51993227,0.2674721100000035,21.87,34.432113647460895,0,0,0,520000000.0,0.03688361343055391,63.77108,-0.5292229533305054,1.497630000000001,0.0237646248111049,-0.0028696470066487123,
4980,GTM,1981,23.06105407,-0.4588782000000009,21.6,34.432113647460895,0,0,0,90000000.0,0.006247850938361665,64.14686,-0.514523811511495,0.375780000000006,0.0058753460379916,-0.0009286046597498654,
4981,GTM,1982,23.48302476,0.4219706899999984,22.16,34.432113647460895,0,0,1,-510000000.0,-0.035932009226062434,64.7087,-0.49254668170258403,0.5618399999999895,0.008720517151695,-0.11015214506191295,
4982,GTM,1983,23.44532871,-0.03769605000000098,22.02,34.432113647460895,0,0,0,-360000000.0,-0.026164283201826066,60.02324,-0.6758247726794838,-4.685459999999992,-0.075163838675472,0.15804690314914893,
4983,GTM,1984,22.94781907,-0.497509639999997,21.58,34.432113647460895,0,0,0,70000000.0,0.00514139950041681,61.80871,-0.6059837041191877,1.7854699999999966,0.0293124724828297,0.014204303887685121,
4984,GTM,1985,22.97219117,0.024372099999997232,21.57,34.432113647460895,0,0,0,-80000000.0,-0.005878047784189988,62.6339,-0.5737052836667181,0.8251899999999992,0.0132623720319298,0.010771557291763045,
4985,GTM,1986,23.29904397,0.32685280000000105,22.36,34.432113647460895,0,0,0,10000000.0,0.000736648283773178,63.06809,-0.5567213558728067,0.4341900000000009,0.0069082713293555,0.009406971621368498,
4986,GTM,1987,23.35127751,0.05223353999999958,22.48,34.432113647460895,1,0,1,490000000.0,0.035446748995745736,63.2216,-0.5507166050594682,0.1535100000000042,0.0024310785085539,0.010801715446723037,
4987,GTM,1988,23.32236258,-0.028914929999999117,22.14,34.432113647460895,0,0,1,540000000.0,0.03766135463631315,64.92965,-0.48390392427826573,1.708049999999993,0.0266583611715018,0.009671145595173236,
4988,GTM,1989,23.32850393,0.006141350000000045,22.24,34.432113647460895,0,0,1,580000000.0,0.038931090845071736,69.26113,-0.31447223870104957,4.331479999999999,0.0645794780892936,0.005546504255623752,
4989,GTM,1990,23.62675238,0.2982484499999991,22.39,34.432113647460895,0,0,0,470000000.0,0.03047237395497504,73.3218,-0.155633651734739,4.060670000000002,0.0569741184136187,0.0015859415244330322,
4990,GTM,1991,23.94484631,0.31809392999999986,22.55,34.432113647460895,0,0,0,570000000.0,0.03575169096384201,72.4449,-0.18993477862039,-0.876899999999992,-0.0120316996741065,0.004025628849013252,
4991,GTM,1992,23.8234485,-0.12139780999999772,22.72,34.432113647460895,0,0,0,790000000.0,0.047527741618729635,71.12124,-0.24171152581329833,-1.3236600000000038,-0.0184402465399795,0.002992727364605763,
4992,GTM,1993,23.8263003,0.0028517999999984056,22.76,34.432113647460895,0,0,0,670000000.0,0.038610385026466076,71.87777,-0.21211883391821143,0.7565299999999979,0.0105810111310953,0.006906301705813966,
4993,GTM,1994,23.99335591,0.16705560999999847,22.64,34.432113647460895,1,0,1,710000000.0,0.03935115644324583,74.07001,-0.12636640786757836,2.192239999999998,0.0300436895272779,0.0059335212445521535,
4994,GTM,1995,24.01081149,0.017455580000000026,22.55,34.432113647460895,0,0,1,910000000.0,0.048272431825484574,79.92095,0.10250100613667859,5.8509400000000085,0.0760272941239224,0.007332683475588908,
4995,GTM,1996,23.47435188,-0.5364596099999979,22.35,34.432113647460895,0,0,0,570000000.0,0.029091104788001587,84.01113,0.26249391657703997,4.0901799999999895,0.0499112689094278,0.010352027235476235,
