country,year,drought,extreme_temperature,flood,ln_GDP_change,ln_TFP_change
ATG,2013,0,0,0,-0.0037684,
ATG,2014,0,0,0,,
ATG,2015,0,0,0,,
ATG,2016,0,0,0,,
ATG,2017,0,0,0,,
ATG,2018,0,0,0,,
AUS,1960,0,0,0,,
AUS,1961,0,0,0,0.003335,
AUS,1962,0,0,0,-0.0117426,0.093536589162678
AUS,1963,0,0,0,0.0411178,0.0032280265231969
AUS,1964,0,0,0,0.0478048,0.0126124499843545
AUS,1965,0,0,0,0.0384735,-0.0559502937596865
AUS,1966,0,0,0,0.0005376,0.0636683790834991
AUS,1967,1,0,0,0.0484588,-0.0851486933664725
AUS,1968,0,0,0,0.0320211,0.110668797803399
AUS,1969,0,0,0,0.0472136,-0.0378117535309093
AUS,1970,0,0,0,0.0495153,0.0481602984631664
AUS,1971,0,0,1,0.0054845,0.0176947448716165
AUS,1972,0,0,0,0.0199824,-0.0021434444691603
AUS,1973,0,0,1,0.0103514,0.044031812115862
AUS,1974,1,0,1,0.01487,-0.0433389477381523
AUS,1975,0,0,0,0.000935,0.0822059306489464
AUS,1976,1,0,1,0.0155152,0.0148169956314046
AUS,1977,0,0,0,0.0241788,0.0020996287411447
AUS,1978,1,0,1,-0.0026934,0.106948453480775
AUS,1979,0,0,0,0.0289308,-0.0397524821749569
AUS,1980,0,0,0,0.017867,-0.100921186556781
AUS,1981,1,0,1,0.0171483,0.068604607509358
AUS,1982,0,0,0,0.0160198,-0.0847764739476338
AUS,1983,0,0,0,-0.0350947,0.166456245795728
AUS,1984,0,0,1,0.0339445,-0.0587524587054924
AUS,1985,0,0,0,0.0374886,0.0113991435202854
AUS,1986,0,0,1,0.0221836,0.0256925136603776
AUS,1987,0,0,0,0.009018,-0.0201129497673751
AUS,1988,0,0,1,0.0378873,0.0374673176390665
AUS,1989,0,0,1,0.0219196,-0.0104119474447053
AUS,1990,0,0,1,0.0258572,0.0604796178817661
AUS,1991,1,0,0,-0.0139803,0.0047399166147821
AUS,1992,1,0,0,-0.0089626,0.0422945234797067
AUS,1993,0,1,1,0.0307393,0.0331455590443461
AUS,1994,0,1,0,0.0290002,-0.0929515262738159
AUS,1995,0,1,0,0.0245668,0.141393521721224
AUS,1996,0,0,1,0.025553,0.101236823092275
AUS,1997,0,0,1,0.0275038,-0.0146505495600691
AUS,1998,0,0,1,0.0329399,0.0157675626420204
AUS,1999,0,0,0,0.0373939,0.0517436983450485
AUS,2000,0,0,1,0.0261105,-0.034848015945288
AUS,2001,0,0,1,0.0055772,-0.0026812898710391
AUS,2002,1,0,0,0.0257508,0.0416476954806431
AUS,2003,0,0,1,0.0179836,-0.176714983209855
AUS,2004,0,0,1,0.0291463,0.141587571127394
AUS,2005,0,0,1,0.018474,-0.0057568366357392
AUS,2006,1,0,1,0.0146502,0.0577490056456531
AUS,2007,0,0,1,0.0307506,-0.144788292074472
AUS,2008,0,0,1,0.0162688,0.0621355132114294
AUS,2009,0,1,1,-0.0033332,0.0780013811809308
AUS,2010,0,0,1,0.0038804,0.0049740713885233
AUS,2011,0,0,1,0.0082539,0.0357228271503063
AUS,2012,0,0,1,0.018472,0.0693541944654505
AUS,2013,0,0,0,0.0085019,-0.0049369159276553
AUS,2014,0,1,0,,-0.0355223570835497
AUS,2015,0,0,1,,0.0476063349400571
AUS,2016,0,0,1,,
AUS,2017,0,0,0,,
AUS,2018,1,1,1,,
AUT,1960,0,0,0,,
AUT,1961,0,0,0,0.048416,
AUT,1962,0,0,0,0.0200131,-0.0502427674103814
AUT,1963,0,0,0,0.0341257,0.0232672768475117
AUT,1964,0,0,0,0.0527759,0.0073647953250857
AUT,1965,0,0,0,0.0277126,-0.137842228615613
AUT,1966,0,0,0,0.04788,0.0936027670170536
AUT,1967,0,0,0,0.0221627,0.0442828419284798
AUT,1968,0,0,0,0.0385594,0.0611222561894227
AUT,1969,0,0,0,0.0574147,-0.0405819359318871
AUT,1970,0,0,0,0.0504848,0.020442880958405
AUT,1971,0,0,0,0.0454045,-0.0480193143348551
AUT,1972,0,0,0,0.054416,-0.0081592005874524
AUT,1973,0,0,0,0.0421758,0.0426368243719599
AUT,1974,0,0,0,0.0369776,0.0634395619340413
AUT,1975,0,0,0,-0.0009764,0.0425919680963851
AUT,1976,0,0,0,0.0465202,-0.0466978103777143
AUT,1977,0,0,0,0.0491677,-0.0153403200660378
AUT,1978,0,0,0,-0.0012991,0.0330681487008597
AUT,1979,0,0,0,0.0538862,0.0209084316529262
AUT,1980,0,0,1,0.0171656,0.0375595759306249
AUT,1981,0,0,0,-0.0039942,-0.0209881822723377
AUT,1982,0,0,1,0.0191958,0.131576542964096
AUT,1983,0,0,1,0.0309135,-0.0702655533692234
AUT,1984,0,0,0,0.0005756,0.014706710772356
AUT,1985,0,0,1,0.0242102,-0.0296253901684169
AUT,1986,0,0,0,0.0221176,0.0808041616888531
AUT,1987,0,0,0,0.0128476,0.0053624302863548
AUT,1988,0,0,0,0.0310116,0.0206778491029471
AUT,1989,0,0,0,0.0336292,0.002951219306337
AUT,1990,0,0,0,0.0349187,-0.021416408627668
AUT,1991,0,0,1,0.0238531,0.0324910965508955
AUT,1992,0,0,0,0.0097136,0.0135712721915606
AUT,1993,0,0,0,-0.002992,0.0152576210371542
AUT,1994,0,0,0,0.0198885,0.0240068908875459
AUT,1995,0,0,1,0.0247991,-0.0102962823039316
AUT,1996,0,0,1,0.0230169,-0.0199760945385865
AUT,1997,0,0,1,0.0216934,0.0274935501880851
